Ciudad,Región,Day 1,Description 1,Day 2,Description 2,Day 3,Description 3,Day 4,Description 4,Day 5,Description 5
CRUCERO , PUNO,"sábado, 13 de enero: Máx 18ºC, Mín 2ºC",Cielo nublado con lluvia por la noche.,"domingo, 14 de enero: Máx 17ºC, Mín 4ºC",Cielo nublado con lluvia por la noche.,"lunes, 15 de enero: Máx 16ºC, Mín 4ºC",Cielo nublado con lluvia hacia la madrugada.,"martes, 16 de enero: Máx 16ºC, Mín 5ºC",Cielo nublado con tendencia a cielo despejado hacia el mediodía.,"miércoles, 17 de enero: Máx 18ºC, Mín 5ºC",Cielo cubierto con tendencia a cielo con nubes dispersas hacia el mediodía.
DESAGUADERO , PUNO,"sábado, 13 de enero: Máx 18ºC, Mín 6ºC",Cielo nublado con lluvia en las primeras horas de la mañana por la noche.,"domingo, 14 de enero: Máx 18ºC, Mín 7ºC",Cielo cubierto durante el día con viento fuerte al atardecer ; lluvia hacia la madrugada.,"lunes, 15 de enero: Máx 17ºC, Mín 7ºC",Cielo nublado durante el día.,"martes, 16 de enero: Máx 19ºC, Mín 6ºC",Cielo cubierto durante el día.,"miércoles, 17 de enero: Máx 19ºC, Mín 6ºC",Cielo nublado con ráfagas de viento al atardecer.
HUANCANE , PUNO,"sábado, 13 de enero: Máx 19ºC, Mín 5ºC",Cielo nublado con lluvia hacia la madrugada y por la noche.,"domingo, 14 de enero: Máx 18ºC, Mín 5ºC",Cielo nublado con lluvia hacia la madrugada y por la noche.,"lunes, 15 de enero: Máx 17ºC, Mín 6ºC",Cielo nublado con lluvia hacia la madrugada.,"martes, 16 de enero: Máx 20ºC, Mín 5ºC",Cielo nublado durante el día.,"miércoles, 17 de enero: Máx 18ºC, Mín 5ºC",Cielo nublado parcial con lluvia hacia la madrugada.
ILAVE , PUNO,"sábado, 13 de enero: Máx 18ºC, Mín 4ºC","Cielo cubierto con lluvia hacia la madrugada , por la tarde y por la noche.","domingo, 14 de enero: Máx 18ºC, Mín 6ºC","Cielo cubierto con lluvia hacia la madrugada , por la tarde y durante la noche.","lunes, 15 de enero: Máx 17ºC, Mín 7ºC",Cielo nublado con lluvia hacia la madrugada y en las primeras horas de la mañana.,"martes, 16 de enero: Máx 19ºC, Mín 7ºC",Cielo nublado parcial durante el día.,"miércoles, 17 de enero: Máx 17ºC, Mín 7ºC",Cielo cubierto durante el día con ráfagas de viento por la tarde.
JULI , PUNO,"sábado, 13 de enero: Máx 20ºC, Mín 6ºC","Cielo cubierto con llovizna por la noche , viento fuerte por la tarde.","domingo, 14 de enero: Máx 19ºC, Mín 6ºC","Cielo cubierto con llovizna por la noche , viento fuerte por la tarde.","lunes, 15 de enero: Máx 18ºC, Mín 7ºC",Cielo cubierto con lluvia intermitente.,"martes, 16 de enero: Máx 19ºC, Mín 5ºC",Cielo nublado con lluvia hacia la madrugada.,"miércoles, 17 de enero: Máx 19ºC, Mín 5ºC",Cielo nublado parcial durante el día.
JULIACA , PUNO,"sábado, 13 de enero: Máx 18ºC, Mín 4ºC",Cielo cubierto con llovizna por la noche.,"domingo, 14 de enero: Máx 17ºC, Mín 6ºC",Cielo cubierto con lluvia por la noche.,"lunes, 15 de enero: Máx 17ºC, Mín 6ºC","Cielo cubierto con lluvia hacia la madrugada , por la tarde y por la noche.","martes, 16 de enero: Máx 19ºC, Mín 6ºC",Cielo nublado durante el día.,"miércoles, 17 de enero: Máx 20ºC, Mín 5ºC",Cielo nublado parcial variando a cielo cubierto.
LAMPA , PUNO,"sábado, 13 de enero: Máx 18ºC, Mín 3ºC",Cielo cubierto con lluvia por la noche.,"domingo, 14 de enero: Máx 17ºC, Mín 5ºC",Cielo cubierto con lluvia al atardecer y durante la noche.,"lunes, 15 de enero: Máx 16ºC, Mín 5ºC",Cielo cubierto con lluvia hacia la madrugada y al atardecer.,"martes, 16 de enero: Máx 17ºC, Mín 6ºC",Cielo cubierto con lluvia en las primeras horas de la mañana y al atardecer.,"miércoles, 17 de enero: Máx 18ºC, Mín 6ºC",Cielo nublado con viento fuerte al atardecer.
LARAQUERI , PUNO,"sábado, 13 de enero: Máx 12ºC, Mín 4ºC",Cielo cubierto con lluvia por la tarde y por la noche.,"domingo, 14 de enero: Máx 12ºC, Mín 3ºC",Cielo nublado con lluvia por la tarde.,"lunes, 15 de enero: Máx 12ºC, Mín 3ºC",Cielo cubierto durante el día.,"martes, 16 de enero: Máx 13ºC, Mín 1ºC",Cielo cubierto con lluvia por la tarde.,"miércoles, 17 de enero: Máx 13ºC, Mín 3ºC",Cielo nublado con ráfagas de viento por la tarde.
MACUSANI , PUNO,"sábado, 13 de enero: Máx 19ºC, Mín 5ºC",Cielo cubierto durante el día.,"domingo, 14 de enero: Máx 19ºC, Mín 6ºC",Cielo nublado con lluvia por la noche.,"lunes, 15 de enero: Máx 17ºC, Mín 6ºC",Cielo cubierto durante el día.,"martes, 16 de enero: Máx 20ºC, Mín 5ºC",Cielo cubierto durante el día.,"miércoles, 17 de enero: Máx 17ºC, Mín 5ºC",Cielo cubierto durante el día.
MAZOCRUZ , PUNO,"sábado, 13 de enero: Máx 17ºC, Mín 5ºC",Cielo nublado parcial con llovizna por la mañana.,"domingo, 14 de enero: Máx 17ºC, Mín 6ºC",Cielo cubierto con viento fuerte al atardecer.,"lunes, 15 de enero: Máx 18ºC, Mín 6ºC",Cielo nublado con llovizna por la noche.,"martes, 16 de enero: Máx 19ºC, Mín 6ºC",Cielo cubierto con viento fuerte al atardecer.,"miércoles, 17 de enero: Máx 17ºC, Mín 5ºC",Cielo nublado parcial con viento fuerte por la tarde.
MOHO , PUNO,"sábado, 13 de enero: Máx 19ºC, Mín 5ºC",Cielo con nubes dispersas por la mañana variando a cielo nublado al atardecer.,"domingo, 14 de enero: Máx 18ºC, Mín 5ºC",Cielo nublado con lluvia por la noche.,"lunes, 15 de enero: Máx 18ºC, Mín 6ºC",Cielo nublado durante el día.,"martes, 16 de enero: Máx 17ºC, Mín 5ºC",Cielo nublado durante el día.,"miércoles, 17 de enero: Máx 18ºC, Mín 5ºC",Cielo con nubes dispersas por la mañana variando a cielo nublado al atardecer.
PISACOMA , PUNO,"sábado, 13 de enero: Máx 17ºC, Mín 6ºC",Cielo cubierto con lluvia por la noche.,"domingo, 14 de enero: Máx 16ºC, Mín 7ºC",Cielo cubierto con lluvia hacia la madrugada y por la noche.,"lunes, 15 de enero: Máx 15ºC, Mín 6ºC",Cielo nublado con lluvia frecuente durante el día.,"martes, 16 de enero: Máx 17ºC, Mín 6ºC",Cielo nublado con lluvia hacia la madrugada.,"miércoles, 17 de enero: Máx 17ºC, Mín 7ºC",Cielo nublado con viento fuerte al atardecer.
PUNO , PUNO,"sábado, 13 de enero: Máx 17ºC, Mín 4ºC",Cielo nublado durante el día.,"domingo, 14 de enero: Máx 17ºC, Mín 4ºC",Cielo nublado con lluvia ráfagas de viento al atardecer.,"lunes, 15 de enero: Máx 16ºC, Mín 6ºC",Cielo nublado durante el día.,"martes, 16 de enero: Máx 17ºC, Mín 4ºC",Cielo despejado en las primeras horas de la mañana variando a cielo cubierto al atardecer con ráfagas de viento y lluvia.,"miércoles, 17 de enero: Máx 18ºC, Mín 5ºC",Cielo nublado parcial con lluvia y viento fuerte al atardecer.
PUTINA , PUNO,"sábado, 13 de enero: Máx 28ºC, Mín 21ºC",Cielo cubierto con lluvia frecuente.,"domingo, 14 de enero: Máx 27ºC, Mín 20ºC",Cielo cubierto con lluvia frecuente.,"lunes, 15 de enero: Máx 25ºC, Mín 21ºC",Cielo cubierto con lluvia frecuente.,"martes, 16 de enero: Máx 27ºC, Mín 21ºC",Cielo cubierto durante el día.,"miércoles, 17 de enero: Máx 29ºC, Mín 21ºC",Cielo cubierto con lluvia hacia la madrugada.
SAN GABÁN , PUNO,"sábado, 13 de enero: Máx 28ºC, Mín 17ºC",Cielo cubierto con lluvia frecuente.,"domingo, 14 de enero: Máx 26ºC, Mín 16ºC",Cielo cubierto con lluvia frecuente.,"lunes, 15 de enero: Máx 26ºC, Mín 16ºC",Cielo cubierto con lluvia frecuente.,"martes, 16 de enero: Máx 25ºC, Mín 15ºC",Cielo nublado durante el día.,"miércoles, 17 de enero: Máx 27ºC, Mín 17ºC",Cielo cubierto con lluvia durante el día.
SAN JUAN DEL ORO , PUNO,"sábado, 13 de enero: Máx 18ºC, Mín 4ºC",Cielo cubierto con lluvia hacia la madrugada y por la noche.,"domingo, 14 de enero: Máx 18ºC, Mín 5ºC",Cielo cubierto con lluvia intermitente.,"lunes, 15 de enero: Máx 18ºC, Mín 6ºC",Cielo cubierto durante el día.,"martes, 16 de enero: Máx 20ºC, Mín 5ºC",Cielo cubierto durante el día con tendencia a cielo con nubes dispersas hacia el mediodía.,"miércoles, 17 de enero: Máx 18ºC, Mín 6ºC",Cielo cubierto durante el día.
YUNGUYO , PUNO,"sábado, 13 de enero: Máx 34ºC, Mín 23ºC",Cielo nublado parcial con tendencia a cielo con nubes dispersas al atardecer.,"domingo, 14 de enero: Máx 33ºC, Mín 22ºC",Cielo nublado parcial entre cielo con nubes dispersas hacia el mediodía.,"lunes, 15 de enero: Máx 33ºC, Mín 22ºC",Cielo nublado con tendencia a cielo nublado parcial en las primeras horas de la mañana.,"martes, 16 de enero: Máx 32ºC, Mín 21ºC",Cielo nublado variando a cielo nublado parcial por la mañana con lluvia.,"miércoles, 17 de enero: Máx 32ºC, Mín 21ºC",Cielo cubierto con tormenta y chubasco en las primeras horas de la mañana.
ALAO , SAN MARTIN,"sábado, 13 de enero: Máx 36ºC, Mín 23ºC",Cielo nublado parcial entre cielo nublado por la mañana.,"domingo, 14 de enero: Máx 35ºC, Mín 22ºC",Cielo nublado parcial con tendencia a cielo con nubes dispersas en las primeras horas de la mañana.,"lunes, 15 de enero: Máx 35ºC, Mín 22ºC",Cielo nublado parcial entre cielo nublado parcial por la tarde.,"martes, 16 de enero: Máx 34ºC, Mín 22ºC",Cielo nublado variando a cielo nublado parcial por la tarde con lluvia.,"miércoles, 17 de enero: Máx 34ºC, Mín 22ºC",Cielo cubierto con tormenta y chubasco en las primeras horas de la mañana.
BELLAVISTA , SAN MARTIN,"sábado, 13 de enero: Máx 36ºC, Mín 23ºC",Cielo nublado entre cielo nublado parcial por la mañana.,"domingo, 14 de enero: Máx 35ºC, Mín 22ºC",Cielo nublado parcial a cielo con nubes dispersas por la tarde.,"lunes, 15 de enero: Máx 35ºC, Mín 22ºC",Cielo nublado con tendencia a cielo nublado parcial en las primeras horas de la mañana.,"martes, 16 de enero: Máx 34ºC, Mín 22ºC",Cielo nublado parcial con tendencia a cielo nublado al atardecer con lluvia.,"miércoles, 17 de enero: Máx 34ºC, Mín 22ºC",Cielo nublado con tendencia a cielo nublado parcial hacia el mediodía con tormenta y chubasco.
CHAZUTA , SAN MARTIN,"sábado, 13 de enero: Máx 36ºC, Mín 23ºC",Cielo nublado parcial entre cielo con nubes dispersas durante el día.,"domingo, 14 de enero: Máx 35ºC, Mín 22ºC",Cielo nublado parcial variando a cielo con nubes dispersas durante el día.,"lunes, 15 de enero: Máx 35ºC, Mín 22ºC",Cielo nublado variando a cielo nublado parcial hacia el mediodía.,"martes, 16 de enero: Máx 34ºC, Mín 22ºC",Cielo nublado parcial con tendencia a cielo nublado durante el día con lluvia.,"miércoles, 17 de enero: Máx 34ºC, Mín 22ºC",Cielo cubierto con tormenta y chubasco hacia el mediodía.
JUANJUI , SAN MARTIN,"sábado, 13 de enero: Máx 31ºC, Mín 21ºC",Cielo nublado parcial con tendencia a cielo con nubes dispersas hacia el mediodía.,"domingo, 14 de enero: Máx 30ºC, Mín 20ºC",Cielo nublado parcial con tendencia a cielo con nubes dispersas por la tarde.,"lunes, 15 de enero: Máx 30ºC, Mín 20ºC",Cielo nublado con tendencia a cielo nublado parcial en las primeras horas de la mañana.,"martes, 16 de enero: Máx 29ºC, Mín 19ºC",Cielo nublado parcial con tendencia a cielo nublado al atardecer con lluvia.,"miércoles, 17 de enero: Máx 29ºC, Mín 19ºC",Cielo cubierto con tormenta y chubasco hacia el mediodía.
LAMAS , SAN MARTIN,"sábado, 13 de enero: Máx 30ºC, Mín 20ºC",Cielo nublado parcial con tendencia a cielo con nubes dispersas hacia el mediodía.,"domingo, 14 de enero: Máx 29ºC, Mín 19ºC",Cielo nublado parcial variando a cielo con nubes dispersas hacia el mediodía.,"lunes, 15 de enero: Máx 29ºC, Mín 19ºC",Cielo nublado con tendencia a cielo nublado parcial hacia el mediodía.,"martes, 16 de enero: Máx 28ºC, Mín 18ºC",Cielo nublado parcial variando a cielo nublado por la mañana con lluvia.,"miércoles, 17 de enero: Máx 28ºC, Mín 18ºC",Cielo cubierto con tormenta y chubasco en las primeras horas de la mañana.
MOYOBAMBA , SAN MARTIN,"sábado, 13 de enero: Máx 30ºC, Mín 20ºC",Cielo con nubes dispersas con tendencia a cielo nublado parcial hacia el mediodía.,"domingo, 14 de enero: Máx 29ºC, Mín 19ºC",Cielo nublado parcial variando a cielo con nubes dispersas en las primeras horas de la mañana.,"lunes, 15 de enero: Máx 29ºC, Mín 19ºC",Cielo nublado con tendencia a cielo nublado parcial durante el día.,"martes, 16 de enero: Máx 28ºC, Mín 18ºC",Cielo nublado con tendencia a cielo con nubes dispersas durante el día con lluvia.,"miércoles, 17 de enero: Máx 28ºC, Mín 18ºC",Cielo nublado parcial con tendencia a cielo nublado hacia el mediodía con tormenta y chubasco.
NARANJILLO , SAN MARTIN,"sábado, 13 de enero: Máx 36ºC, Mín 23ºC",Cielo con nubes dispersas con tendencia a cielo nublado parcial durante el día.,"domingo, 14 de enero: Máx 35ºC, Mín 22ºC",Cielo nublado parcial entre cielo con nubes dispersas hacia el mediodía.,"lunes, 15 de enero: Máx 35ºC, Mín 22ºC",Cielo nublado con tendencia a cielo nublado parcial durante el día.,"martes, 16 de enero: Máx 34ºC, Mín 22ºC",Cielo nublado parcial entre cielo nublado durante el día con lluvia.,"miércoles, 17 de enero: Máx 34ºC, Mín 22ºC",Cielo cubierto con tormenta y chubasco en las primeras horas de la mañana.
NUEVO LIMA , SAN MARTIN,"sábado, 13 de enero: Máx 31ºC, Mín 21ºC",Cielo nublado parcial con tendencia a cielo con nubes dispersas durante el día.,"domingo, 14 de enero: Máx 31ºC, Mín 21ºC",Cielo nublado parcial entre cielo con nubes dispersas en las primeras horas de la mañana.,"lunes, 15 de enero: Máx 31ºC, Mín 21ºC",Cielo nublado variando a cielo nublado parcial en las primeras horas de la mañana.,"martes, 16 de enero: Máx 30ºC, Mín 20ºC",Cielo nublado con tendencia a cielo nublado parcial durante el día con lluvia.,"miércoles, 17 de enero: Máx 30ºC, Mín 20ºC",Cielo cubierto con tormenta y chubasco hacia el mediodía.
PACAYZAPA , SAN MARTIN,"sábado, 13 de enero: Máx 36ºC, Mín 23ºC",Cielo con nubes dispersas con tendencia a cielo nublado parcial hacia el mediodía.,"domingo, 14 de enero: Máx 35ºC, Mín 22ºC",Cielo nublado parcial variando a cielo con nubes dispersas en las primeras horas de la mañana.,"lunes, 15 de enero: Máx 35ºC, Mín 22ºC",Cielo nublado variando a cielo nublado parcial por la mañana.,"martes, 16 de enero: Máx 34ºC, Mín 22ºC",Cielo nublado con tendencia a cielo nublado parcial hacia el mediodía con lluvia.,"miércoles, 17 de enero: Máx 34ºC, Mín 22ºC",Cielo cubierto con tormenta y chubasco por la mañana.
