Ciudad,Región,Day 1,Description 1,Day 2,Description 2,Day 3,Description 3,Day 4,Description 4,Day 5,Description 5
BAGUA GRANDE , AMAZONAS,"sábado, 13 de enero: Máx 19ºC, Mín 11ºC",Cielo nublado parcial hacia la madrugada a cielo nublado por la tarde con lluvia.,"domingo, 14 de enero: Máx 19ºC, Mín 11ºC",Cielo nublado parcial a cielo nublado durante el día con lluvia.,"lunes, 15 de enero: Máx 19ºC, Mín 11ºC",Cielo nublado parcial por la mañana a cielo nublado con tendencia a lluvia ligera por la tarde.,"martes, 16 de enero: Máx 19ºC, Mín 11ºC",Cielo nublado con viento moderado por la mañana con tendencia a lluvia ligera por la tarde.,"miércoles, 17 de enero: Máx 19ºC, Mín 11ºC","Cielo nublado parcial entre cielo nublado durante el día con tendencia a lluvia ligera , viento moderado por la mañana."
CHACHAPOYAS , AMAZONAS,"sábado, 13 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado a cielo nublado parcial durante el día con tendencia a chubascos ligeros.,"domingo, 14 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado parcial entre cielo nublado durante el día con tendencia a chubascos ligeros.,"lunes, 15 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado entre cielo nublado parcial durante el día con tendencia a chubascos ligeros.,"martes, 16 de enero: Máx 33ºC, Mín 22ºC",Cielo nublado a cielo nublado parcial durante el día con tendencia a chubascos ligeros.,"miércoles, 17 de enero: Máx 33ºC, Mín 22ºC",Cielo nublado a cielo nublado parcial durante el día con tendencia a lluvia ligera.
CHIRIACO , AMAZONAS,"sábado, 13 de enero: Máx 24ºC, Mín 17ºC",Cielo nublado parcial por la mañana a cielo nublado por la tarde con lluvia.,"domingo, 14 de enero: Máx 24ºC, Mín 17ºC",Cielo nublado parcial a cielo nublado durante el día con lluvia.,"lunes, 15 de enero: Máx 25ºC, Mín 16ºC",Cielo nublado parcial con viento moderado por la mañana a cielo nublado al atardecer con tendencia a lluvia ligera.,"martes, 16 de enero: Máx 26ºC, Mín 16ºC","Cielo nublado parcial entre cielo nublado durante el día con tendencia a lluvia ligera , viento ligero por la mañana.","miércoles, 17 de enero: Máx 26ºC, Mín 16ºC",Cielo nublado parcial entre cielo nublado durante el día con tendencia a lluvia ligera y viento moderado.
PEDRO RUIZ , AMAZONAS,"sábado, 13 de enero: Máx 31ºC, Mín 22ºC",Cielo nublado entre cielo nublado parcial durante el día con tendencia a chubascos ligeros.,"domingo, 14 de enero: Máx 31ºC, Mín 22ºC",Cielo nublado entre cielo nublado parcial durante el día con tendencia a chubascos ligeros.,"lunes, 15 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado parcial a cielo nublado durante el día con tendencia a chubascos ligeros.,"martes, 16 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado variando a cielo nublado parcial durante el día con tendencia a chubascos ligeros.,"miércoles, 17 de enero: Máx 32ºC, Mín 22ºC",Cielo nublado entre cielo nublado parcial durante el día con tendencia a chubascos ligeros.
SANTA MARIA DE NIEVA , AMAZONAS,"sábado, 13 de enero: Máx 13ºC, Mín 9ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"domingo, 14 de enero: Máx 14ºC, Mín 8ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 15ºC, Mín 7ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con tendencia a chubascos ligeros y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 16ºC, Mín 7ºC",Cielo con nubes dispersas por la mañana variando a cielo nublado parcial a cielo nublado por la tarde.,"miércoles, 17 de enero: Máx 15ºC, Mín 8ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.
CABANA , ANCASH,"sábado, 13 de enero: Máx 32ºC, Mín 21ºC",Cielo nublado hacia la madrugada variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo cubierto con lluvia ligera al atardecer.,"domingo, 14 de enero: Máx 31ºC, Mín 20ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo cubierto con lluvia ligera al atardecer.,"lunes, 15 de enero: Máx 31ºC, Mín 20ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo nublado con ráfagas de viento al atardecer.,"martes, 16 de enero: Máx 32ºC, Mín 21ºC",Cielo cubierto en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado hacia el mediodía y cielo nublado parcial al atardecer con ráfagas de viento.,"miércoles, 17 de enero: Máx 33ºC, Mín 22ºC",Cielo nublado hacia la madrugada variando a cielo con nubes dispersas entre cielo despejado durante el día con tendencia a cielo nublado parcial al atardecer.
CASMA , ANCASH,"sábado, 13 de enero: Máx 20ºC, Mín 11ºC",Cielo nublado parcial variando a cielo cubierto durante el día con lluvia y ráfagas de viento por la tarde.,"domingo, 14 de enero: Máx 19ºC, Mín 12ºC",Cielo nublado entre cielo nublado parcial por la mañana variando a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 20ºC, Mín 11ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 21ºC, Mín 10ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía y cielo cubierto con tendencia a chubascos ligeros por la tarde.,"miércoles, 17 de enero: Máx 19ºC, Mín 10ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con lluvia y ráfagas de viento por la tarde.
CHAVIN , ANCASH,"sábado, 13 de enero: Máx 29ºC, Mín 21ºC",Cielo nublado hacia la madrugada variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo cubierto con lluvia ligera al atardecer.,"domingo, 14 de enero: Máx 28ºC, Mín 22ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo cubierto con tendencia a lluvia ligera al atardecer.,"lunes, 15 de enero: Máx 27ºC, Mín 21ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo nublado parcial con ráfagas de viento al atardecer.,"martes, 16 de enero: Máx 28ºC, Mín 20ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo nublado parcial con ráfagas de viento al atardecer.,"miércoles, 17 de enero: Máx 28ºC, Mín 21ºC",Cielo nublado hacia la madrugada variando a cielo con nubes dispersas entre cielo despejado durante el día con tendencia a cielo nublado parcial al atardecer.
CHIMBOTE , ANCASH,"sábado, 13 de enero: Máx 21ºC, Mín 4ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"domingo, 14 de enero: Máx 23ºC, Mín 3ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 24ºC, Mín 2ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con tendencia a chubascos ligeros y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 25ºC, Mín 3ºC",Cielo con nubes dispersas por la mañana variando a cielo nublado parcial a cielo nublado por la tarde.,"miércoles, 17 de enero: Máx 23ºC, Mín 5ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía a cielo cubierto con lluvia y ráfagas de viento por la tarde.
CHIQUIÁN , ANCASH,"sábado, 13 de enero: Máx 24ºC, Mín 7ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"domingo, 14 de enero: Máx 22ºC, Mín 7ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 23ºC, Mín 6ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con chubascos ligeros con tendencia a ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 24ºC, Mín 5ºC",Cielo con nubes dispersas por la mañana variando a cielo nublado parcial a cielo nublado por la tarde.,"miércoles, 17 de enero: Máx 23ºC, Mín 6ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía y cielo cubierto con lluvia por la tarde.
HUARAZ , ANCASH,"sábado, 13 de enero: Máx 29ºC, Mín 22ºC",Cielo nublado hacia la madrugada variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo cubierto con lluvia ligera al atardecer.,"domingo, 14 de enero: Máx 28ºC, Mín 21ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo cubierto con lluvia ligera al atardecer.,"lunes, 15 de enero: Máx 28ºC, Mín 20ºC",Cielo nublado en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo nublado parcial con ráfagas de viento al atardecer.,"martes, 16 de enero: Máx 29ºC, Mín 21ºC",Cielo cubierto en las primeras horas de la mañana variando a cielo con nubes dispersas entre cielo despejado hacia el mediodía y cielo nublado al atardecer con ráfagas de viento.,"miércoles, 17 de enero: Máx 30ºC, Mín 22ºC",Cielo cubierto hacia la madrugada variando a cielo con nubes dispersas entre cielo despejado durante el día y cielo nublado parcial al atardecer.
HUARMEY , ANCASH,"sábado, 13 de enero: Máx 23ºC, Mín 9ºC",Cielo nublado parcial con tendencia a cielo con nubes dispersas por la mañana variando a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"domingo, 14 de enero: Máx 24ºC, Mín 8ºC",Cielo nublado parcial con tendencia a cielo con nubes dispersas por la mañana variando a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 24ºC, Mín 9ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 25ºC, Mín 7ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía a cielo cubierto con tendencia a chubascos ligeros y ráfagas de viento por la tarde.,"miércoles, 17 de enero: Máx 23ºC, Mín 8ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con lluvia y ráfagas de viento por la tarde.
POMABAMBA , ANCASH,"sábado, 13 de enero: Máx 22ºC, Mín 8ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"domingo, 14 de enero: Máx 21ºC, Mín 9ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 22ºC, Mín 8ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 23ºC, Mín 7ºC",Cielo con nubes dispersas por la mañana variando a cielo nublado parcial a cielo nublado con tendencia a chubascos ligeros por la tarde.,"miércoles, 17 de enero: Máx 22ºC, Mín 8ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía a cielo cubierto con lluvia y ráfagas de viento por la tarde.
RECUAY , ANCASH,"sábado, 13 de enero: Máx 23ºC, Mín 10ºC",Cielo nublado parcial con tendencia a cielo con nubes dispersas por la mañana variando a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"domingo, 14 de enero: Máx 24ºC, Mín 11ºC",Cielo nublado parcial con tendencia a cielo con nubes dispersas por la mañana variando a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 26ºC, Mín 9ºC",Cielo nublado parcial entre cielo con nubes dispersas por la mañana variando a cielo cubierto con lluvia ligera y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 27ºC, Mín 8ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía a cielo cubierto con tendencia a chubascos fuertes y ráfagas de viento por la tarde.,"miércoles, 17 de enero: Máx 25ºC, Mín 10ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con lluvia y ráfagas de viento por la tarde.
SIHUAS , ANCASH,"sábado, 13 de enero: Máx 26ºC, Mín 12ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con lluvia y ráfagas de viento por la tarde.,"domingo, 14 de enero: Máx 26ºC, Mín 13ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con chubascos ligeros y ráfagas de viento por la tarde.,"lunes, 15 de enero: Máx 27ºC, Mín 12ºC",Cielo nublado parcial por la mañana variando a cielo nublado a cielo cubierto con tendencia a lluvia ligera y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 28ºC, Mín 11ºC",Cielo con nubes dispersas por la mañana variando a cielo nublado parcial a cielo nublado por la tarde.,"miércoles, 17 de enero: Máx 27ºC, Mín 12ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía a cielo cubierto con chubascos ligeros con tendencia a ráfagas de viento por la tarde.
YUNGAY , ANCASH,"sábado, 13 de enero: Máx 20ºC, Mín 10ºC",Cielo nublado con tendencia a cielo nublado parcial durante el día ; lluvia.,"domingo, 14 de enero: Máx 21ºC, Mín 9ºC",Cielo nublado parcial a cielo nublado por la tarde con lluvia.,"lunes, 15 de enero: Máx 21ºC, Mín 10ºC",Cielo nublado parcial a cielo nublado al atardecer con lluvia.,"martes, 16 de enero: Máx 20ºC, Mín 9ºC",Cielo nublado por la tarde con lluvia.,"miércoles, 17 de enero: Máx 20ºC, Mín 10ºC",Cielo nublado parcial por la tarde con tendencia a lluvia.
ABANCAY , APURIMAC,"sábado, 13 de enero: Máx 20ºC, Mín 9ºC","Cielo nublado al atardecer , lluvia.","domingo, 14 de enero: Máx 20ºC, Mín 10ºC",Cielo nublado parcial a cielo nublado por la tarde con lluvia.,"lunes, 15 de enero: Máx 21ºC, Mín 10ºC",Cielo nublado parcial variando a cielo cubierto por la tarde con lluvia.,"martes, 16 de enero: Máx 21ºC, Mín 9ºC",Cielo nublado parcial por la tarde con lluvia.,"miércoles, 17 de enero: Máx 20ºC, Mín 9ºC",Cielo nublado parcial al atardecer con tendencia a lluvia.
ANDAHUAYLAS , APURIMAC,"sábado, 13 de enero: Máx 21ºC, Mín 6ºC","Cielo nublado durante el día , lluvia.","domingo, 14 de enero: Máx 20ºC, Mín 7ºC",Cielo nublado parcial por la tarde con lluvia.,"lunes, 15 de enero: Máx 21ºC, Mín 7ºC",Cielo nublado parcial a cielo nublado por la tarde con lluvia.,"martes, 16 de enero: Máx 21ºC, Mín 7ºC",Cielo nublado durante el día con lluvia.,"miércoles, 17 de enero: Máx 20ºC, Mín 6ºC",Cielo nublado parcial al atardecer con tendencia a lluvia.
ANTABAMBA , APURIMAC,"sábado, 13 de enero: Máx 23ºC, Mín 3ºC","Cielo nublado durante el día , lluvia.","domingo, 14 de enero: Máx 24ºC, Mín 3ºC",Cielo nublado parcial por la tarde con lluvia.,"lunes, 15 de enero: Máx 24ºC, Mín 4ºC",Cielo nublado parcial a cielo nublado por la tarde con lluvia.,"martes, 16 de enero: Máx 23ºC, Mín 4ºC",Cielo nublado al atardecer con lluvia.,"miércoles, 17 de enero: Máx 24ºC, Mín 3ºC",Cielo nublado parcial por la tarde con tendencia a lluvia.
CHALHUANCA , APURIMAC,"sábado, 13 de enero: Máx 22ºC, Mín 4ºC",Cielo nublado variando a cielo nublado parcial durante el día con tendencia a lluvia.,"domingo, 14 de enero: Máx 22ºC, Mín 5ºC",Cielo cubierto por la tarde con lluvia.,"lunes, 15 de enero: Máx 22ºC, Mín 4ºC",Cielo nublado durante el día con lluvia.,"martes, 16 de enero: Máx 22ºC, Mín 4ºC",Cielo nublado parcial al atardecer con lluvia.,"miércoles, 17 de enero: Máx 23ºC, Mín 5ºC",Cielo nublado parcial al atardecer con tendencia a lluvia.
CURPAHUASI , APURIMAC,"sábado, 13 de enero: Máx 21ºC, Mín 8ºC","Cielo nublado variando a cielo nublado parcial durante el día , lluvia.","domingo, 14 de enero: Máx 20ºC, Mín 7ºC",Cielo nublado por la tarde con lluvia.,"lunes, 15 de enero: Máx 20ºC, Mín 8ºC",Cielo nublado parcial a cielo nublado al atardecer con lluvia.,"martes, 16 de enero: Máx 20ºC, Mín 8ºC",Cielo nublado por la tarde con lluvia.,"miércoles, 17 de enero: Máx 22ºC, Mín 7ºC",Cielo nublado parcial al atardecer con tendencia a lluvia.
TAMBOBAMBA , APURIMAC,"sábado, 13 de enero: Máx 29ºC, Mín 17ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía.,"domingo, 14 de enero: Máx 29ºC, Mín 18ºC",Cielo con nubes dispersas variando a cielo nublado parcial hacia el mediodía.,,,,,,
APLAO , AREQUIPA,"sábado, 13 de enero: Máx 25ºC, Mín 12ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,"domingo, 14 de enero: Máx 25ºC, Mín 12ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,,,,,,
AREQUIPA , AREQUIPA,"sábado, 13 de enero: Máx 25ºC, Mín 14ºC",Cielo con nubes dispersas variando a cielo despejado hacia el mediodía.,"domingo, 14 de enero: Máx 25ºC, Mín 13ºC",Cielo con nubes dispersas variando a cielo despejado hacia el mediodía.,,,,,,
ATICO , AREQUIPA,"sábado, 13 de enero: Máx 20ºC, Mín 7ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,"domingo, 14 de enero: Máx 21ºC, Mín 7ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,,,,,,
CABANACONDE , AREQUIPA,"sábado, 13 de enero: Máx 26ºC, Mín 14ºC",Cielo despejado durante el día con incremento de temperatura diurna.,"domingo, 14 de enero: Máx 25ºC, Mín 13ºC",Cielo despejado durante el día con incremento de temperatura diurna.,,,,,,
CAMANA , AREQUIPA,"sábado, 13 de enero: Máx 28ºC, Mín 13ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,"domingo, 14 de enero: Máx 28ºC, Mín 13ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,,,,,,
CARAVELI , AREQUIPA,"sábado, 13 de enero: Máx 15ºC, Mín -1ºC",Cielo nublado parcial variando a cielo cubierto con lluvia por la tarde.,"domingo, 14 de enero: Máx 15ºC, Mín -1ºC",Cielo nublado parcial variando a cielo cubierto con lluvia por la tarde.,,,,,,
CAYLLOMA , AREQUIPA,"sábado, 13 de enero: Máx 28ºC, Mín 12ºC",Cielo despejado variando a cielo con nubes dispersas con viento moderado por la tarde.,"domingo, 14 de enero: Máx 27ºC, Mín 12ºC",Cielo despejado variando a cielo con nubes dispersas con viento moderado por la tarde.,,,,,,
CHAPARRA , AREQUIPA,"sábado, 13 de enero: Máx 21ºC, Mín 14ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,"domingo, 14 de enero: Máx 22ºC, Mín 14ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,,,,,,
CHIGUATA , AREQUIPA,"sábado, 13 de enero: Máx 22ºC, Mín 10ºC",Cielo nublado parcial variando a cielo nublado con lluvia por la tarde.,"domingo, 14 de enero: Máx 22ºC, Mín 10ºC",Cielo nublado parcial variando a cielo nublado con lluvia por la tarde.,,,,,,
CHIVAY , AREQUIPA,"sábado, 13 de enero: Máx 19ºC, Mín 2ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,"domingo, 14 de enero: Máx 18ºC, Mín 2ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,,,,,,
CHUQUIBAMBA , AREQUIPA,"sábado, 13 de enero: Máx 22ºC, Mín 12ºC",Cielo nublado parcial variando a cielo cubierto con lluvia por la tarde.,"domingo, 14 de enero: Máx 21ºC, Mín 12ºC",Cielo nublado parcial variando a cielo cubierto con lluvia por la tarde.,,,,,,
COTAHUASI , AREQUIPA,"sábado, 13 de enero: Máx 20ºC, Mín 11ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,"domingo, 14 de enero: Máx 21ºC, Mín 11ºC",Cielo con nubes dispersas variando a cielo nublado con lluvia por la tarde.,,,,,,
HUANCA , AREQUIPA,"sábado, 13 de enero: Máx 15ºC, Mín -2ºC",Cielo nublado parcial variando a cielo cubierto con lluvia por la tarde.,"domingo, 14 de enero: Máx 14ºC, Mín -2ºC",Cielo nublado parcial variando a cielo cubierto con lluvia por la tarde.,,,,,,
IMATA , AREQUIPA,"sábado, 13 de enero: Máx 28ºC, Mín 14ºC",Cielo con nubes dispersas durante el día.,"domingo, 14 de enero: Máx 28ºC, Mín 14ºC",Cielo con nubes dispersas durante el día.,,,,,,
LA JOYA , AREQUIPA,"sábado, 13 de enero: Máx 24ºC, Mín 13ºC",Cielo despejado variando a cielo con nubes dispersas hacia el mediodía.,"domingo, 14 de enero: Máx 24ºC, Mín 13ºC",Cielo despejado variando a cielo con nubes dispersas hacia el mediodía.,,,,,,
LOMAS , AREQUIPA,"sábado, 13 de enero: Máx 28ºC, Mín 14ºC",Cielo despejado variando a cielo con nubes dispersas con incremento de temperatura diurna.,"domingo, 14 de enero: Máx 28ºC, Mín 13ºC",Cielo despejado variando a cielo con nubes dispersas con incremento de temperatura diurna.,,,,,,
MAJES , AREQUIPA,"sábado, 13 de enero: Máx 25ºC, Mín 16ºC",Cielo despejado durante el día con incremento de temperatura diurna.,"domingo, 14 de enero: Máx 25ºC, Mín 17ºC",Cielo despejado durante el día con incremento de temperatura diurna.,,,,,,
MOLLENDO , AREQUIPA,"sábado, 13 de enero: Máx 18ºC, Mín -3ºC",Cielo nublado variando a cielo cubierto con lluvia por la tarde.,"domingo, 14 de enero: Máx 19ºC, Mín -3ºC",Cielo nublado variando a cielo cubierto con lluvia por la tarde.,,,,,,
ORCOPAMPA , AREQUIPA,"sábado, 13 de enero: Máx 21ºC, Mín 4ºC",Cielo nublado parcial variando a cielo nublado con lluvia por la tarde.,"domingo, 14 de enero: Máx 21ºC, Mín 4ºC",Cielo nublado parcial variando a cielo nublado con lluvia por la tarde.,,,,,,
SIBAYO , AREQUIPA,"sábado, 13 de enero: Máx 21ºC, Mín 10ºC",Cielo nublado parcial por la mañana variando a cielo nublado por la tarde con chubascos ligeros y ráfagas de viento.,"domingo, 14 de enero: Máx 19ºC, Mín 11ºC",Cielo cubierto durante el día con chubascos moderados y tormenta por la tarde.,"lunes, 15 de enero: Máx 16ºC, Mín 12ºC",Cielo cubierto durante el día con lluvia intermitente por la tarde.,"martes, 16 de enero: Máx 18ºC, Mín 10ºC",Cielo nublado parcial por la mañana variando a cielo nublado por la tarde con chubascos ligeros.,"miércoles, 17 de enero: Máx 20ºC, Mín 9ºC",Cielo nublado parcial a cielo nublado durante el día.
ANCO , AYACUCHO,"sábado, 13 de enero: Máx 29ºC, Mín 9ºC",Cielo nublado parcial por la mañana variando a cielo cubierto al atardecer con chubascos ligeros y ráfagas de viento.,"domingo, 14 de enero: Máx 25ºC, Mín 11ºC","Cielo nublado a cielo cubierto durante el día con lluvia moderada , tormenta y granizo por la tarde.","lunes, 15 de enero: Máx 23ºC, Mín 10ºC",Cielo cubierto durante el día con lluvia intermitente por la tarde.,"martes, 16 de enero: Máx 26ºC, Mín 10ºC",Cielo nublado parcial por la mañana variando a cielo nublado por la tarde con lluvia ligera.,"miércoles, 17 de enero: Máx 28ºC, Mín 11ºC",Cielo nublado parcial por la mañana variando a cielo nublado por la tarde con ráfagas de viento.
AYACUCHO , AYACUCHO,"sábado, 13 de enero: Máx 20ºC, Mín 8ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con lluvia ligera.,"domingo, 14 de enero: Máx 20ºC, Mín 8ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con lluvia ligera.,"lunes, 15 de enero: Máx 19ºC, Mín 9ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con lluvia ligera.,"martes, 16 de enero: Máx 22ºC, Mín 9ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con lluvia moderada.,"miércoles, 17 de enero: Máx 23ºC, Mín 8ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con lluvia moderada.
CORACORA , AYACUCHO,"sábado, 13 de enero: Máx 14ºC, Mín 9ºC",Cielo despejado por la mañana variando a cielo cubierto al atardecer con lluvia.,"domingo, 14 de enero: Máx 15ºC, Mín 9ºC",Cielo despejado por la mañana variando a cielo cubierto al atardecer con lluvia.,"lunes, 15 de enero: Máx 14ºC, Mín 9ºC",Cielo despejado por la mañana variando a cielo cubierto al atardecer con lluvia.,"martes, 16 de enero: Máx 16ºC, Mín 10ºC",Cielo despejado por la mañana variando a cielo cubierto al atardecer con lluvia.,"miércoles, 17 de enero: Máx 16ºC, Mín 11ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con lluvia.
HUAC,HUAS - AYACUCHO,"sábado, 13 de enero: Máx 23ºC, Mín 10ºC",Cielo nublado parcial por la mañana variando a cielo nublado por la tarde con chubascos ligeros y ráfagas de viento.,"domingo, 14 de enero: Máx 21ºC, Mín 9ºC","Cielo nublado parcial por la mañana variando a cielo cubierto por la tarde con chubascos moderados , tormenta y granizo.","lunes, 15 de enero: Máx 17ºC, Mín 11ºC",Cielo cubierto durante el día con lluvia ligera y ráfagas de viento por la tarde.,"martes, 16 de enero: Máx 20ºC, Mín 10ºC",Cielo nublado parcial por la mañana variando a cielo nublado por la tarde con chubascos ligeros.,"miércoles, 17 de enero: Máx 21ºC, Mín 9ºC",Cielo nublado parcial por la mañana variando a cielo nublado por la tarde con ráfagas de viento.
HUANCAPI , AYACUCHO,"sábado, 13 de enero: Máx 28ºC, Mín 9ºC",Cielo nublado parcial por la mañana variando a cielo nublado por la tarde con lluvia ligera y ráfagas de viento.,"domingo, 14 de enero: Máx 26ºC, Mín 10ºC","Cielo nublado variando a cielo cubierto por la tarde con chubascos moderados , tormenta y granizo.","lunes, 15 de enero: Máx 24ºC, Mín 11ºC",Cielo nublado a cielo cubierto durante el día con lluvia intermitente por la tarde.,"martes, 16 de enero: Máx 27ºC, Mín 9ºC",Cielo nublado parcial por la mañana variando a cielo nublado por la tarde.,"miércoles, 17 de enero: Máx 29ºC, Mín 9ºC",Cielo nublado parcial a cielo nublado durante el día.
HUANTA , AYACUCHO,"sábado, 13 de enero: Máx 22ºC, Mín 10ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con lluvia moderada.,"domingo, 14 de enero: Máx 23ºC, Mín 10ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con lluvia moderada.,"lunes, 15 de enero: Máx 22ºC, Mín 10ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con lluvia.,"martes, 16 de enero: Máx 24ºC, Mín 9ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con llovizna.,"miércoles, 17 de enero: Máx 25ºC, Mín 9ºC",Cielo despejado por la mañana variando a cielo nublado al atardecer con lluvia ligera.
